49,29,48,5,56,24,35, negative
56,4,48,5,49,37,46, negative
59,49,48,5,52,45,36, negative
23,32,48,5,55,25,35, negative
67,39,48,5,36,38,46, negative
29,28,48,5,44,23,34, negative
42,4,48,5,56,18,3, negative
42,24,48,5,57,27,37, negative
25,48,48,5,44,17,29, negative
39,32,48,5,46,24,35, negative
51,5,48,5,46,32,35, negative
22,43,48,5,48,16,28, negative
25,4,48,5,46,44,52, negative
34,45,48,5,38,24,35, negative
44,27,48,5,55,52,58, negative
23,4,48,5,39,28,38, negative
41,57,48,5,39,21,32, negative
4,45,48,5,38,22,0, negative
51,54,48,5,41,34,43, negative
29,37,48,5,48,44,52, negative
25,4,48,5,47,33,42, negative
21,51,48,5,5,32,41, negative
43,37,48,5,53,35,44, negative
43,39,48,5,47,31,41, negative
53,38,48,5,44,26,36, negative
34,33,48,5,38,35,44, negative
56,51,48,5,34,37,46, negative
4,29,48,5,42,35,44, negative
24,35,48,5,31,19,31, negative
36,54,48,5,41,38,46, negative
29,52,48,5,42,29,39, negative
65,47,48,5,59,3,4, negative
32,42,48,5,35,28,38, negative
33,45,48,5,52,32,41, negative
3,37,48,5,59,41,49, negative
4,5,48,5,45,39,47, negative
28,38,48,5,5,33,42, negative
44,35,48,5,55,55,61, negative
43,4,48,5,39,28,39, negative
42,35,48,5,58,15,27, negative
23,33,48,5,43,33,43, negative
37,52,48,5,42,42,36, negative
22,36,48,5,35,39,47, negative
23,58,48,5,37,53,59, negative
47,47,48,5,22,16,26, negative
54,47,48,5,28,33,42, negative
51,37,48,5,35,36,45, negative
4,35,48,5,45,33,42, negative
44,34,48,5,3,33,43, negative
42,38,48,5,54,34,43, negative
44,56,48,5,5,46,54, negative
36,41,48,5,48,47,54, negative
18,3,48,5,46,24,35, negative
47,29,48,5,51,33,43, negative
24,43,48,5,54,52,59, negative
25,37,48,5,41,33,42, negative
25,37,48,5,43,26,36, negative
44,51,48,5,47,26,36, negative
37,5,48,5,42,36,45, negative
44,42,48,5,42,25,2, negative
24,43,48,5,37,28,38, negative
42,3,48,5,48,26,36, negative
48,42,48,5,45,25,35, negative
41,48,48,5,51,44,51, negative
44,28,48,5,43,27,37, negative
29,41,48,5,48,38,46, negative
41,43,48,5,45,31,41, negative
29,47,48,5,41,23,34, negative
5,51,48,5,27,23,34, negative
53,42,48,5,16,29,39, negative
34,46,48,5,52,35,44, negative
4,42,48,5,37,27,27, negative
41,43,48,5,5,24,25, negative
3,45,48,5,36,21,32, negative
31,47,48,5,29,28,39, negative
64,76,48,5,45,35,38, negative
65,55,48,5,34,37,28, negative
51,46,48,5,58,31,41, negative
38,4,48,5,63,25,35, negative
24,57,48,5,63,34,43, negative
38,26,48,5,54,16,28, negative
24,34,48,5,38,3,4, negative
26,5,48,5,44,32,41, negative
43,32,48,5,33,45,52, negative
49,43,48,5,49,3,4, negative
47,28,48,5,56,2,25, negative
32,33,48,5,6,6,2, negative
34,35,48,5,51,49,56, negative
35,34,48,5,46,3,27, negative
38,44,48,5,43,2,31, negative
41,51,48,5,58,2,31, negative
34,42,48,5,41,34,43, negative
51,49,48,5,53,14,26, negative
25,51,48,5,37,42,5, negative
29,28,48,5,5,42,5, negative
25,26,48,5,39,32,42, negative
17,39,48,5,53,3,39, negative
4,31,48,5,41,29,39, negative
34,51,48,5,44,37,46, negative
28,33,48,5,45,22,33, negative
4,46,48,5,42,35,44, negative
23,34,48,5,43,26,37, negative
37,44,48,5,42,39,47, negative
0,38,48,5,42,48,55, negative
27,3,48,5,71,28,39, negative
17,52,48,5,49,37,46, negative
36,42,48,5,53,32,41, negative
3,37,48,5,43,18,3, negative
26,4,48,5,36,26,37, negative
4,41,48,5,55,22,33, negative
44,35,48,5,44,52,59, negative
16,43,48,5,54,27,37, negative
85,53,48,5,53,52,35, negative
63,49,48,5,54,76,79, negative
72,42,48,5,65,77,79, negative
79,41,48,5,66,81,83, negative
83,48,48,5,65,76,79, negative
69,43,48,5,59,74,77, negative
79,36,48,5,46,82,7, negative
78,33,48,5,57,77,79, negative
75,37,48,5,64,7,74, negative
59,29,48,5,64,75,77, negative
67,37,48,5,54,64,68, negative
66,48,48,5,54,7,74, negative
64,46,48,5,48,73,76, negative
76,71,48,5,5,71,75, negative
77,55,48,5,51,78,74, negative
58,6,48,5,59,73,76, negative
62,42,48,5,58,79,81, negative
86,39,48,5,59,89,9, negative
81,53,48,5,57,87,88, negative
87,49,48,5,61,76,79, negative
47,46,48,5,62,74,77, negative
76,41,48,5,5,59,62, negative
7,53,48,5,7,86,87, negative
64,45,48,5,67,61,66, negative
81,52,48,5,57,78,8, negative
73,26,48,5,57,75,78, negative
49,61,1,5,56,71,74, negative
88,42,48,5,52,73,75, negative
63,51,48,5,64,72,76, negative
86,55,48,5,63,81,83, negative
79,54,48,5,5,66,68, negative
57,38,48,5,6,49,33, negative
78,44,48,5,45,73,68, negative
78,68,48,5,83,4,29, positive
63,69,48,5,65,41,28, positive
67,88,48,5,73,5,25, positive
61,75,48,5,51,33,33, positive
67,84,48,5,74,54,37, positive
73,84,48,5,86,58,29, positive
75,76,48,5,83,57,3, positive
74,78,48,5,75,54,15, positive
68,76,48,5,84,45,27, positive
56,68,48,5,77,36,45, positive
65,51,48,5,66,54,33, positive
6,76,1,5,77,59,52, positive
69,59,48,5,77,39,21, positive
63,49,48,5,79,45,28, positive
71,71,48,5,68,43,36, positive
68,63,48,5,73,4,3, positive
